molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units,MW,LogP,HBD,HBA
CHEMBL208292,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(N)=O,10.0,8.0,nM,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL207584,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O,30.0,7.522878745280337,nM,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL382638,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@H]1C(N)=O,20.0,7.698970004336019,nM,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL206955,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O,6.0,8.221848749616356,nM,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL437885,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,360.0,6.443697499232712,nM,386.8580000000003,4.770300000000004,1.0,5.0
CHEMBL210893,CN(C(=O)N(CCCl)N=O)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,294.0,6.531652669587842,nM,463.7230000000001,4.914300000000003,1.0,6.0
CHEMBL210378,CN(C(=O)N(CCCl)N=O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,204.0,6.690369832574101,nM,419.2720000000001,4.805200000000003,1.0,6.0
CHEMBL209818,Cc1cccc(Nc2ncnc3ccc(N(C)C(=O)N(CCCl)N=O)cc23)c1,1139.0,5.943476275920899,nM,398.85400000000016,4.460220000000003,1.0,6.0
CHEMBL210660,O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,47.0,7.327902142064282,nM,449.6960000000001,4.890000000000002,2.0,6.0
CHEMBL210659,O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,67.0,7.173925197299173,nM,405.24500000000006,4.780900000000003,2.0,6.0
CHEMBL210502,Cc1cccc(Nc2ncnc3ccc(NC(=O)N(CCCl)N=O)cc23)c1,1061.0,5.974284616098659,nM,384.8270000000002,4.435920000000003,2.0,6.0
