molecule_chembl_id,canonical_smiles,value_IC50,value_pIC50,units
CHEMBL2283257,O=C(/C=C/c1ccccc1)Nc1ccccc1Br,15740.0,4.802995271976954,nM
CHEMBL2283256,O=C(/C=C/c1ccccc1)Nc1cc(Cl)cc(Cl)c1,13930.0,4.856048883576037,nM
CHEMBL2283255,O=C(/C=C/c1ccccc1)Nc1ccc(Cl)cc1Cl,16170.000000000002,4.791289980093599,nM
CHEMBL2336335,O=C(/C=C/c1ccccc1)Nc1ccc(Cl)cc1,13710.0,4.862962545210487,nM
CHEMBL1830131,O=C(/C=C/c1ccccc1)Nc1cccc(Cl)c1,14590.0,4.835944708106548,nM
CHEMBL1981977,O=C(/C=C/c1ccccc1)Nc1ccccc1Cl,9860.0,5.006123085058789,nM
CHEMBL2283253,O=C(/C=C/c1ccccc1)Nc1cc(F)c(F)c(F)c1,12880.0,4.890084136976206,nM
CHEMBL2283252,O=C(/C=C/c1ccccc1)Nc1cc(F)cc(F)c1,13230.0,4.878440155812499,nM
CHEMBL2283251,O=C(/C=C/c1ccccc1)Nc1ccc(F)cc1F,11690.0,4.93218548883816,nM
CHEMBL2336361,O=C(/C=C/c1ccccc1)Nc1ccc(F)cc1,10020.0,4.999132278468773,nM
CHEMBL1998736,O=C(/C=C/c1ccccc1)Nc1ccccc1F,7370.0,5.132532512140949,nM
CHEMBL2283249,CCOc1ccc(NC(=O)/C=C/c2ccccc2)cc1,10230.0,4.99012436628784,nM
CHEMBL2283248,CCOc1ccccc1NC(=O)/C=C/c1ccccc1,9350.0,5.029188389127482,nM
CHEMBL2336357,COc1ccc(NC(=O)/C=C/c2ccccc2)cc1,9050.0,5.043351420794797,nM
CHEMBL2336355,COc1ccccc1NC(=O)/C=C/c1ccccc1,5160.0,5.287350298372789,nM
CHEMBL2283245,CC(C)c1ccc(NC(=O)/C=C/c2ccccc2)cc1,14580.0,4.836242476018044,nM
CHEMBL2336359,Cc1ccc(NC(=O)/C=C/c2ccccc2)cc1,12690.0,4.896538377905295,nM
CHEMBL1830130,Cc1cccc(NC(=O)/C=C/c2ccccc2)c1,19690.0,4.705754283861882,nM
CHEMBL2336358,Cc1ccccc1NC(=O)/C=C/c1ccccc1,12290.0,4.910448117113546,nM
CHEMBL1830129,O=C(/C=C/c1ccccc1)Nc1ccccc1,23160.0,4.635261444944601,nM
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,8600.0,5.065501548756432,nM
CHEMBL2316159,COc1cc(/C=C2\CCC/C(=C\c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)C2=O)cc(OC)c1,4800.0,5.318758762624412,nM
CHEMBL2316158,COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,1900.0,5.721246399047171,nM
CHEMBL2316157,COc1cc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)cc(OC)c1,2000.0,5.698970004336019,nM
CHEMBL2316156,COc1ccc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)cc1,18600.0,4.730487055782084,nM
CHEMBL2316155,COc1cc(/C=C2\CCC/C(=C\c3ccc(OC)c(O)c3)C2=O)cc(OC)c1,5300.0,5.275724130399211,nM
CHEMBL2316154,COc1cc(/C=C2\CCC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc(OC)c1,3900.0,5.4089353929735005,nM
CHEMBL2316153,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)cc3)C2=O)cc(OC)c1,4600.0,5.337242168318426,nM
CHEMBL2316152,COc1cc(/C=C2\CCC/C(=C\c3ccccc3OC)C2=O)cc(OC)c1,20800.0,4.681936665037238,nM
CHEMBL2316151,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)c(O)c3)C2=O)cc(OC)c1,400.0,6.3979400086720375,nM
CHEMBL2316150,COc1cccc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)c1,6100.0,5.214670164989233,nM
CHEMBL2316149,COc1cc(/C=C2\CCC/C(=C\C3CCCCC3)C2=O)cc(OC)c1,7500.0,5.1249387366083,nM
CHEMBL2316148,COc1cc(/C=C2\CCC/C(=C\c3ccc(Cl)cc3)C2=O)cc(OC)c1,15300.0,4.815308569182402,nM
CHEMBL2316147,COc1cc(/C=C2\CCC/C(=C\c3ccc(F)cc3)C2=O)cc(OC)c1,5600.0,5.251811972993799,nM
CHEMBL2316146,COc1cc(/C=C2\CCC/C(=C\c3ccc(Br)cc3)C2=O)cc(OC)c1,7100.0,5.1487416512809245,nM
CHEMBL2316145,COc1cc(/C=C2\CCC/C(=C\c3cccc(Br)c3)C2=O)cc(OC)c1,6800.0,5.167491087293763,nM
CHEMBL2316144,COc1cc(/C=C2\CCC/C(=C\c3ccccc3Br)C2=O)cc(OC)c1,8000.0,5.096910013008056,nM
CHEMBL2316143,COc1cc(/C=C2\CCC/C(=C\c3ccccc3F)C2=O)cc(OC)c1,2100.0,5.6777807052660805,nM
CHEMBL2316142,COc1cc(/C=C2\CCC/C(=C\c3ccccc3Cl)C2=O)cc(OC)c1,1500.0,5.823908740944319,nM
CHEMBL2316141,COc1cc(/C=C2\CCC/C(=C\c3cccc(Cl)c3)C2=O)cc(OC)c1,2200.0,5.657577319177793,nM
CHEMBL2316140,COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1,1600.0,5.795880017344075,nM
CHEMBL2312304,O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,4090.0,5.388276691992658,nM
CHEMBL2312303,O=C(NCCCN1CCCC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,4290.0,5.367542707815275,nM
CHEMBL2312654,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,590.0,6.229147988357855,nM
CHEMBL2312652,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@@H]2COC[C@H]2O)CC1,30000.0,4.522878745280337,nM
CHEMBL2312649,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)CC1,30000.0,4.522878745280337,nM
CHEMBL2312646,CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCCC2)CC1,30000.0,4.522878745280337,nM
CHEMBL2312645,COc1ccccc1CNc1ncc(C(=O)NC2CCN(C)CC2)c(NC2CCCC2)n1,30000.0,4.522878745280337,nM
CHEMBL2322330,O=C(Nc1cccc(Oc2ccc(Nc3ncnc4ccn(CCOCCO)c34)cc2Cl)c1)NC1CCCCC1,6.9,8.161150909262744,nM
CHEMBL2322329,CN(C)C/C=C/C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,4.6,8.337242168318426,nM
CHEMBL1614725,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,4.0,8.397940008672037,nM
CHEMBL2325101,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,50.0,7.301029995663981,nM
CHEMBL2325100,Cc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,60.0,7.221848749616356,nM
CHEMBL2325099,COc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,120.0,6.920818753952375,nM
CHEMBL2325098,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,710.0,6.1487416512809245,nM
CHEMBL2325097,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,110.0,6.958607314841775,nM
CHEMBL2325096,Fc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,300.0,6.522878745280337,nM
